Объект;Должность;График работы;Оклад (тариф)
ОП Соликамск СКРУ-2;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 3) 1 ставка;22 440
ОП Соликамск СКРУ-2;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 1) 1 ставка;22 440
ОП Соликамск СКРУ-2;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 4) 1 ставка;22 440
ОП Соликамск СКРУ-2;Оператор уборки;2/2 (день) Уралкалий (бр. 1) 1 ставка;22 440
ОП Соликамск СКРУ-2;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-2;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 3) 1 ставка;22 440
ОП Соликамск СКРУ-2;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-2;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 1) 1 ставка;22 440
ОП Соликамск СКРУ-2;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 3) 1 ставка;22 440
ОП Соликамск СКРУ-2;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-2;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-2;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-2;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 1) 1 ставка;22 440
ОП Соликамск СКРУ-2;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 3) 1 ставка;22 440
ОП Соликамск СКРУ-2;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 3) 1 ставка;22 440
ОП Соликамск СКРУ-2;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-2;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 2) 1 ставка;22 440
ОП Соликамск СКРУ-2;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 2) 1 ставка;22 440
ОП Соликамск СКРУ-2;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 2) 1 ставка;22 440
ОП Соликамск СКРУ-2;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 2) 1 ставка;22 440
ОП Соликамск СКРУ-2;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-2;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 1) 1 ставка;22 440
ОП Соликамск СКРУ-2;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-2;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 1) 1 ставка;22 440
ОП Соликамск СКРУ-2;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 4) 1 ставка;22 440
ОП Соликамск СКРУ-2;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 2) 1 ставка;22 440
ОП Соликамск СКРУ-2;Приемщик;Основной график;22 440
ОП Соликамск СКРУ-3;Администратор;Основной график;55 000
ОП Соликамск СКРУ-3;Электромонтер по ремонту и обслуживанию электрооборудования;Основной на  0,25 ст 5/2 по 2,0ч;22 440
ОП Соликамск СКРУ-3;Прачка;Основной график;22 440
ОП Соликамск СКРУ-3;Прачка;Основной график;22 440
ОП Соликамск СКРУ-3;Прачка;Основной график;22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (день) Уралкалий (бр. 1) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 2) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 1) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 4) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 4) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;Пятидневка 0,25 ставки;22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 4) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 1) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 3) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-3;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-3;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-3;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 2) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-3;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (день) Уралкалий (бр. 2) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 1) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 3) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 2) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 3) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 3) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;Основной на 0,5 по 4 ч (и совм-во);22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 4) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 2) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (день) Уралкалий (бр. 2) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 1) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 4) 1 ставка;22 440
ОП Соликамск СКРУ-3;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-3;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-3;Швея;Основной график;22 440
ОП Соликамск СКРУ-3;Швея;Основной на 0,75 ст 5/2- по 6,0ч;22 440
ОП Соликамск СКРУ-3;Слесарь;Основной на  0,25 ст 5/2 по 2,0ч;22 440
ОП Соликамск СКРУ-1;Администратор;Основной график;49 975
ОП Соликамск СКРУ-1;Прачка;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 3) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 4) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 3) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 1) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 1) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 2) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 2) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 3) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 2) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 1) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 4) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 1) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной на 0,5 по 4 ч (и совм-во);22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 3) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 2) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 1) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 1) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 3) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 3) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 4) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 2) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 1) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 4) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 2) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;2/2 (с ночными) Уралкалий (бр. 4) 1 ставка;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
ОП Соликамск СКРУ-1;Оператор уборки;Основной график;22 440
